pattern_length,text_length,match_count,time_ms
5,10000,0,0.0552
5,10000,0,0.0658
5,10000,0,0.0472
5,10000,0,0.0472
5,10000,0,0.047
10,10000,0,0.0474
20,10000,0,0.0468
10,10000,0,0.0474
5,10000,0,0.048
20,10000,0,0.047
5,1000,0,0.0052
5,1000,0,0.005
5,1000,0,0.005
5,1000,0,0.0051
5,1000,0,0.005
10,1000,0,0.005
20,1000,0,0.0053
10,1000,0,0.005
5,1000,0,0.005
20,1000,0,0.0053
5,10000,0,0.0471
5,10000,0,0.0472
5,10000,0,0.0473
5,10000,0,0.047
5,10000,0,0.0469
10,10000,0,0.0469
20,10000,0,0.0471
10,10000,0,0.0469
5,10000,0,0.0471
20,10000,0,0.0498
5,1000,0,0.005
5,1000,0,0.005
5,1000,0,0.005
5,1000,0,0.005
5,1000,0,0.005
10,1000,0,0.0051
20,1000,0,0.0052
10,1000,0,0.0051
5,1000,0,0.0049
20,1000,0,0.0051
5,500,0,0.0027
5,500,0,0.0026
5,500,0,0.0027
5,500,0,0.0026
5,500,0,0.0027
10,500,0,0.0028
20,500,0,0.0028
10,500,0,0.0027
5,500,0,0.0028
20,500,0,0.0029
5,10000,0,0.047
5,10000,0,0.0468
5,10000,0,0.0474
5,10000,0,0.0467
5,10000,0,0.0467
10,10000,0,0.047
20,10000,0,0.0472
10,10000,0,0.0468
5,10000,0,0.0474
20,10000,0,0.0471
5,500,0,0.0026
5,500,0,0.0027
5,500,0,0.0026
5,500,0,0.0026
5,500,0,0.0026
10,500,0,0.0029
20,500,0,0.0029
10,500,0,0.0028
5,500,0,0.0026
20,500,0,0.0027
5,10000,0,0.0477
5,10000,0,0.0471
5,10000,0,0.0473
5,10000,0,0.047
5,10000,0,0.047
10,10000,0,0.0468
20,10000,0,0.0492
10,10000,0,0.0468
5,10000,0,0.047
20,10000,0,0.0478
5,500,0,0.0027
5,500,0,0.0027
5,500,0,0.0026
5,500,0,0.0027
5,500,0,0.0027
10,500,0,0.0028
20,500,0,0.0028
10,500,0,0.0028
5,500,0,0.0026
20,500,0,0.0029
5,1000,0,0.005
5,1000,0,0.0051
5,1000,0,0.0051
5,1000,0,0.0051
5,1000,0,0.0051
10,1000,0,0.0052
20,1000,0,0.0054
10,1000,0,0.0052
5,1000,0,0.0049
20,1000,0,0.0051
