pattern_length,text_length,match_count,time_ms
5,10000,0,0.0565
5,10000,0,0.0549
5,10000,0,0.0549
5,10000,0,0.055
5,10000,0,0.059
10,10000,0,0.0551
20,10000,0,0.0542
10,10000,0,0.055
5,10000,0,0.0555
20,10000,0,0.0545
5,1000,0,0.0056
5,1000,0,0.0054
5,1000,0,0.0055
5,1000,0,0.0056
5,1000,0,0.0055
10,1000,0,0.0054
20,1000,0,0.0055
10,1000,0,0.0055
5,1000,0,0.0055
20,1000,0,0.0055
5,10000,0,0.0549
5,10000,0,0.0549
5,10000,0,0.0551
5,10000,0,0.0547
5,10000,0,0.0547
10,10000,0,0.0545
20,10000,0,0.0546
10,10000,0,0.0545
5,10000,0,0.0546
20,10000,0,0.0545
5,1000,0,0.0055
5,1000,0,0.0055
5,1000,0,0.0055
5,1000,0,0.0055
5,1000,0,0.0054
10,1000,0,0.0077
20,1000,0,0.0054
10,1000,0,0.0056
5,1000,0,0.0055
20,1000,0,0.0054
5,500,0,0.0028
5,500,0,0.0028
5,500,0,0.0028
5,500,0,0.0028
5,500,0,0.0028
10,500,0,0.0027
20,500,0,0.0027
10,500,0,0.0027
5,500,0,0.0029
20,500,0,0.0027
5,10000,0,0.0547
5,10000,0,0.0545
5,10000,0,0.0551
5,10000,0,0.0545
5,10000,0,0.0545
10,10000,0,0.0547
20,10000,0,0.0548
10,10000,0,0.0547
5,10000,0,0.0551
20,10000,0,0.0547
5,500,0,0.0028
5,500,0,0.0028
5,500,0,0.0027
5,500,0,0.0027
5,500,0,0.0026
10,500,0,0.0028
20,500,0,0.0027
10,500,0,0.0028
5,500,0,0.0027
20,500,0,0.0026
5,10000,0,0.0553
5,10000,0,0.0549
5,10000,0,0.055
5,10000,0,0.0548
5,10000,0,0.0547
10,10000,0,0.0562
20,10000,0,0.0548
10,10000,0,0.0545
5,10000,0,0.0547
20,10000,0,0.0552
5,500,0,0.0028
5,500,0,0.0028
5,500,0,0.0027
5,500,0,0.0028
5,500,0,0.0028
10,500,0,0.0028
20,500,0,0.0027
10,500,0,0.0028
5,500,0,0.0027
20,500,0,0.0027
5,1000,0,0.0055
5,1000,0,0.0055
5,1000,0,0.0056
5,1000,0,0.0055
5,1000,0,0.0055
10,1000,0,0.0056
20,1000,0,0.0056
10,1000,0,0.0055
5,1000,0,0.0054
20,1000,0,0.0054
